MAILING_NAME,MAILING_ID,REPORT_ID,INTERVAL,ORIGINAL_HARD_BOUNCE,FORWARD_HARD_BOUNCE,ORIGINAL_SOFT_BOUNCE,FORWARD_SOFT_BOUNCE,ORIGINAL_GROSS_FORWARD,FORWARD_GROSS_FORWARD,ORIGINAL_GROSS_CONVERSION,FORWARD_GROSS_CONVERSION,OPT_IN,OPT_OUT,ORIGINAL_GROSS_CLICKSTREAM,FORWARD_GROSS_CLICKSTREAM,ORIGINAL_GROSS_CLICK_ALL,FORWARD_GROSS_CLICK_ALL,ORIGINAL_GROSS_DOCUMENT,FORWARD_GROSS_DOCUMENT,ORIGINAL_GROSS_MEDIA,FORWARD_GROSS_MEDIA,ORIGINAL_GROSS_OPEN_HTML,FORWARD_GROSS_OPEN_HTML,ORIGINAL_GROSS_OPEN_AOL,FORWARD_GROSS_OPEN_AOL,ORIGINAL_GROSS_OPEN_TEXT,FORWARD_GROSS_OPEN_TEXT,ORIGINAL_GROSS_OPEN_WEB,FORWARD_GROSS_OPEN_WEB,ORIGINAL_GROSS_CLICK_HTML,FORWARD_GROSS_CLICK_HTML,ORIGINAL_GROSS_CLICK_AOL,FORWARD_GROSS_CLICK_AOL,ORIGINAL_GROSS_CLICK_TEXT,FORWARD_GROSS_CLICK_TEXT,ORIGINAL_GROSS_CLICK_WEB,FORWARD_GROSS_CLICK_WEB
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 05:15:00.0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 05:30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 05:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 08:30:00.0,0,0,4,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 06:15:00.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 06:30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 06:45:00.0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 07:00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 07:15:00.0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,2026-09-15 07:30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
